Year,Location,Soil type,Crop,Irrigation,Temperature,Precipitation,Humidity,PH,Area,ETo,Yeild
2004,Bijapur,Alluvial,Jowar,Drip,27,0,57,6,1279,3.29,2570
2004,Bijapur,Alluvial,Jowar,Drip,27,0,57.5,6,13283,3.54,27170
2004,Bijapur,Alluvial,Jowar,Drip,27,0,57,6,52119,3.59,114744
2004,Bijapur,Alluvial,Jowar,Drip,27,0,55,6,725,3.62,1402
2004,Bijapur,Alluvial,Jowar,Drip,27,0,56,6,12885,3.79,23456
2004,Bijapur,Alluvial,Jowar,Drip,27,0,54,6,51179,3.47,107809
2004,Bijapur,Alluvial,Jowar,Drip,27.2,0,58,6,468,3.74,1132
2004,Bijapur,Alluvial,Jowar,Drip,27.2,0,58,6,11841,3.94,23960
2004,Bijapur,Alluvial,Jowar,Drip,27.2,0,59,6,50975,3.9,126487
2004,Bijapur,Alluvial,Jowar,Drip,27,0,50,6,206,3.79,804
2004,Bijapur,Alluvial,Jowar,Drip,27,0,54,6,10922,3.61,30362
2004,Bijapur,Alluvial,Jowar,Drip,27,0,53,6,51390,3.81,124492
2004,Bijapur,Alluvial,Jowar,Drip,27,0,52,6,177,3.83,792
2004,Bijapur,Alluvial,Jowar,Drip,27,0,51,6,10723,3.71,34153
2004,Bijapur,Alluvial,Jowar,Drip,27,0,57,6,51709,4,132551
2004,Bijapur,Alluvial,Jowar,Drip,27.2,0,57,6,146,3.99,338
2004,Bijapur,Alluvial,Jowar,Drip,27.2,0,60,6,10910,4,22966
2004,Bijapur,Alluvial,Jowar,Drip,27.2,0,57,6,51355,3.67,131763
2004,Bijapur,Alluvial,Jowar,Drip,27.1,0,57,6,160,4.08,404
2004,Bijapur,Alluvial,Jowar,Drip,27.1,0,54,6,10912,3.45,24184
2004,Bijapur,Alluvial,Jowar,Drip,27.1,0,54.5,6,51353,4.06,124387
2004,Bijapur,Alluvial,Jowar,Drip,26.8,0,56.6,6,142,4.16,343
2004,Bijapur,Alluvial,Jowar,Drip,26.8,0,55.5,6,10505,4.28,23099
2004,Bijapur,Alluvial,Jowar,Drip,26.8,0,58.5,6,51040,3.95,117825.84
2004,Bijapur,Alluvial,Jowar,Drip,37,0,59.5,6,154,4.1,336
2004,Bijapur,Alluvial,Jowar,Drip,37,0,55,6,10318,4.29,22594
2004,Bijapur,Alluvial,Jowar,Drip,37,0.6724309,53,6,48083,4.4,116481.07
2004,Bijapur,Alluvial,Jowar,Drip,38,0,53.5,6,143,4.68,316
2004,Bijapur,Alluvial,Jowar,Drip,38,0,52.5,6,9283,4.29,21400
2004,Bijapur,Alluvial,Jowar,Drip,38,0,56,6,47200,4.82,122102
2004,Bijapur,Alluvial,Jowar,Drip,39,0.029553875,57,6,158,4.66,382
2004,Bijapur,Alluvial,Jowar,Drip,39,0,57.5,6,8982,4.66,19578
2004,Bijapur,Alluvial,Jowar,Drip,39,0,57,6,46990,4.8,121037
2004,Bijapur,Alluvial,Jowar,Drip,40,0,55,6,103,3.41,231
2004,Bijapur,Alluvial,Jowar,Drip,40,0,56,6,8239,4.67,18951
2004,Bijapur,Alluvial,Jowar,Drip,40,0,54,6,44563,4.73,110579
2004,Bijapur,Alluvial,Jowar,Drip,41,0,58,6,96,4.68,221
2004,Bijapur,Alluvial,Jowar,Drip,41,0,58,6,6949,4.94,15362
2004,Bijapur,Alluvial,Jowar,Drip,41,0,59,6,44663,5.05,120373
2004,Bijapur,Red,Jowar,Drip,42,0,50,8,110,4.28,291
2004,Bijapur,Red,Jowar,Drip,42,0,54,8,6824,3.44,17231
2004,Bijapur,Red,Jowar,Drip,42,0,53,8,43013,2.99,119359
2004,Bijapur,Red,Jowar,Drip,43,0,52,8,95,1.93,283
2004,Bijapur,Red,Jowar,Drip,43,0,51,8,6441,2.67,17690
2004,Bijapur,Red,Jowar,Basin,27,0,57,8,4012,3.14,7157
2004,Bijapur,Red,Jowar,Basin,27,0.013376095,57,8,4877,2.56,8700
2004,Bijapur,Red,Jowar,Basin,27,0,60,8,4930,3.05,41266
2004,Bijapur,Red,Jowar,Basin,27,0,57,8,4954,4.69,8838
2004,Bijapur,Red,Jowar,Basin,27,0,57,8,5019,4.3,8954
2004,Bijapur,Red,Jowar,Basin,27,0,54,8,5127,3.72,42915
2004,Bijapur,Red,Jowar,Basin,27.2,0,54.5,8,5174,1.56,9230
2004,Bijapur,Red,Jowar,Basin,27.2,0,56.6,8,5294,3.9,44313
2004,Bijapur,Red,Jowar,Basin,27.2,0,55.5,8,5474,4.64,45820
2004,Bijapur,Red,Jowar,Basin,27,0,58.5,8,5864,4.41,49084
2004,Bijapur,Red,Jowar,Basin,27,0,59.5,8,7028,5.16,86311
2004,Bijapur,Red,Jowar,Basin,27,0,55,8,7403,4.75,57642
2004,Bijapur,Red,Jowar,Basin,27,0,53,8,7501,4.04,58405
2004,Bijapur,Red,Jowar,Basin,27,0,53.5,8,7714,2.28,60751
2004,Bijapur,Red,Jowar,Basin,27,0,52.5,8,7856,3.9,109506
2004,Bijapur,Red,Jowar,Basin,27.2,0,56,8,32,4.67,114
2004,Bijapur,Red,Jowar,Basin,27.2,0,57,8,1,4.87,3
2004,Bijapur,Red,Jowar,Basin,27.2,0,57.5,8,30,4.97,95
2004,Bijapur,Red,Jowar,Basin,27.1,0,57,8,6,4.04,19
2004,Bijapur,Red,Jowar,Basin,27.1,0,55,8,15,4.91,54
2004,Bijapur,Red,Jowar,Basin,27.1,0,56,8,4,5.41,13
2004,Bijapur,Red,Jowar,Basin,26.8,0,54,8,39,4.95,123
2004,Bijapur,Red,Jowar,Basin,26.8,0.023903873,58,8,6,3.73,19
2004,Bijapur,Red,Jowar,Basin,26.8,0.00296017,58,8,12,4.82,32
2004,Bijapur,Red,Jowar,Basin,37,0,59,8,3,4.81,8
2004,Bijapur,Black,Jowar,Basin,37,0,50,5,17,4.93,50
2004,Bijapur,Black,Jowar,Basin,37,0,54,5,3,5.96,10
2004,Bijapur,Black,Jowar,Basin,38,0,53,5,9,6.11,29
2004,Bijapur,Black,Jowar,Basin,38,0,52,5,21,6.03,44
2004,Bijapur,Black,Jowar,Basin,38,0,51,5,11,6.25,33
2004,Bijapur,Black,Jowar,Basin,39,0,57,5,4,6.28,14
2004,Bijapur,Black,Jowar,Basin,39,0,57,5,15,6.24,56
2004,Bijapur,Black,Jowar,Basin,39,0,60,5,8,6.23,26
2004,Bijapur,Black,Jowar,Basin,40,0.012334706,57,5,29,6.15,98
2004,Bijapur,Black,Jowar,Basin,40,0,57,5,1,6.2,3
2004,Bijapur,Black,Jowar,Basin,40,0,54,5,13736,6.87,58637
2004,Bijapur,Black,Jowar,Basin,41,0,54.5,5,14003,6.43,59777
2004,Bijapur,Black,Jowar,Basin,41,0,56.6,5,14179,6.34,60528
2004,Bijapur,Black,Jowar,Basin,41,0,55.5,5,14319,6.32,61126
2004,Bijapur,Black,Jowar,Basin,42,0,58.5,5,14464,6.34,623687
2004,Bijapur,Black,Jowar,Basin,42,0,59.5,5,14876,6.45,63504
2004,Bijapur,Black,Jowar,Basin,42,0,55,5,14976,6.95,63931
2004,Bijapur,Black,Jowar,Basin,43,0,53,5,15009,7.04,73730
2004,Bijapur,Black,Jowar,Spray,27,0.14076573,53.5,5,15114,5.5,118416
2004,Bijapur,Black,Jowar,Spray,27,0,52.5,5,16224,5.48,130132
2004,Bijapur,Black,Jowar,Spray,27,0,56,5,17095,3.55,154889
2004,Bijapur,Black,Jowar,Spray,27,0,57,5,17512,6.59,171739
2004,Bijapur,Black,Jowar,Spray,27,0,57.5,5,17587,6.48,172475
2004,Bijapur,Black,Jowar,Spray,27,0.03672259,57,5,17771,6.56,177939
2004,Bijapur,Black,Jowar,Spray,27.2,0,55,5,17825,6.85,313547
2004,Bijapur,Black,Jowar,Spray,27.2,0,56,5,3147,4.75,2783
2004,Bijapur,Black,Jowar,Spray,27.2,0,54,5,2578,4.96,1533
2004,Bijapur,Black,Jowar,Spray,27,1.9238355,58,5,1591,6.7,1647
2004,Bijapur,Black,Jowar,Spray,27,0,58,5,1298,6.78,975
2004,Bijapur,Black,Jowar,Spray,27,0,59,5,4,6.78,2
2004,Bijapur,Black,Jowar,Spray,27,0,50,5,1122,6.81,836
2004,Bijapur,Loam,Jowar,Spray,27,0,54,6,917,6.7,806
2004,Bijapur,Loam,Jowar,Spray,27,9.51609,53,6,819,5.99,880
2004,Bijapur,Loam,Jowar,Spray,27.2,3.66648,52,6,619,6.14,770
2004,Bijapur,Loam,Jowar,Spray,27.2,5.3443384,51,6,391,6.41,395
2004,Bijapur,Loam,Jowar,Spray,27.2,0.49940717,57,6,211,6,187
2004,Bijapur,Loam,Jowar,Spray,27.1,0.94670165,57,6,153,4.67,187
2004,Bijapur,Loam,Jowar,Spray,27.1,2.427207,60,6,111,4.48,121
2004,Bijapur,Loam,Jowar,Spray,27.1,0.7573344,57,6,76,4.83,103
2004,Bijapur,Loam,Jowar,Spray,26.8,0,57,6,53,5.6,71
2004,Bijapur,Loam,Jowar,Spray,26.8,25.435959,54,6,2688,4.44,3961
2004,Bijapur,Loam,Jowar,Spray,26.8,0.96835136,54.5,6,2311,4.45,4247
2004,Bijapur,Loam,Jowar,Spray,37,3.5670476,56.6,6,2188,5.48,3290
2004,Bijapur,Loam,Jowar,Spray,37,0.6597354,55.5,6,1998,5.07,3138
2004,Bijapur,Loam,Jowar,Spray,37,0.91540563,58.5,6,2006,5.29,3423
2004,Bijapur,Loam,Jowar,Spray,38,11.532775,59.5,6,2034,6.36,3899
2004,Bijapur,Loam,Jowar,Spray,38,0,55,6,2035,6.73,4015
